"","site","latitude","longitude","long.recenter","depth_avg","tags"
"1","AA",-17.97855,179.2251,179.2251,7,"Marine Ecology Consulting Fiji"
"2","Ada01",-17.19859,-179.01408,180.98592,8,"WCS Fiji"
"3","Ada04",-17.2061,-179.01196,180.98804,4.6,"WCS Fiji"
"4","BA02",-17.379581,177.650742,177.650742,9.67,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"5","BA03",-17.398367,177.621112,177.621112,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"6","BA04",-17.41175,177.59908,177.59908,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"7","BA05",-17.445179,177.565322,177.565322,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"8","BA07",-17.467203,177.555348,177.555348,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"9","BA08",-17.362855,177.602369,177.602369,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"10","BA09",-17.366208,177.632463,177.632463,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"11","BA10",-17.347054,177.626654,177.626654,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"12","BA11",-17.257225,177.541657,177.541657,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"13","BA12",-17.261478,177.535525,177.535525,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"14","BA15",-17.23774,177.52339,177.52339,9,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"15","BA16",-17.236976,177.5209,177.5209,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
