ID,site,longitude,long.recenter,latitude,depth_avg,tags,long.recenter.new,latitude.new,Shifted
1,AA,179.2251,179.2251,-17.97855,7,Marine Ecology Consulting Fiji,179.2251,-17.97855,0
2,Ada01,-179.01408,180.98592,-17.19859,8,WCS Fiji,180.98592,-17.19859,0
3,Ada04,-179.01196,180.98804,-17.2061,4.6,WCS Fiji,180.98804,-17.2061,0
4,BA02,177.650742,177.650742,-17.379581,9.67,Fiji Ministry of Fisheries,177.650742,-17.379581,0
5,BA03,177.621112,177.621112,-17.398367,10,Fiji Ministry of Fisheries,177.621112,-17.398367,0
6,BA04,177.59908,177.59908,-17.41175,10,Fiji Ministry of Fisheries,177.59908,-17.41175,0
7,BA05,177.565322,177.565322,-17.445179,10,Fiji Ministry of Fisheries,177.565322,-17.445179,0
8,BA07,177.555348,177.555348,-17.467203,10,Fiji Ministry of Fisheries,177.555348,-17.467203,0
9,BA08,177.602369,177.602369,-17.362855,10,Fiji Ministry of Fisheries,177.602369,-17.362855,0
10,BA09,177.632463,177.632463,-17.366208,10,Fiji Ministry of Fisheries,177.632463,-17.366208,0
11,BA10,177.626654,177.626654,-17.347054,10,Fiji Ministry of Fisheries,177.626654,-17.347054,0
12,BA11,177.541657,177.541657,-17.257225,10,Fiji Ministry of Fisheries,177.541657,-17.257225,0
13,BA12,177.535525,177.535525,-17.261478,10,Fiji Ministry of Fisheries,177.535525,-17.261478,0
14,BA15,177.52339,177.52339,-17.23774,9,Fiji Ministry of Fisheries,177.52339,-17.23774,0
15,BA16,177.5209,177.5209,-17.236976,10,Fiji Ministry of Fisheries,177.5209,-17.236976,0
16,BU01,178.7739944,178.7739944,-17.75097551,1,WCS Fiji,178.7739944,-17.75097551,0
17,BU01N,178.77,178.77,-17.752,3.7,WCS Fiji,178.77,-17.752,0
18,BU02,178.76,178.76,-17.746,3,WCS Fiji,178.76,-17.746,0
19,BU03,178.59043,178.59043,-17.734462,2.33,WCS Fiji,178.59043,-17.734462,0
20,BU04,178.741848,178.741848,-17.71958293,2,WCS Fiji,178.741848,-17.71958293,0
21,BU05,178.7364636,178.7364636,-17.69145574,1.5,WCS Fiji,178.7364636,-17.69145574,0
22,BU07,178.761011,178.761011,-17.630935,2.62,WCS Fiji,178.761011,-17.630935,0
23,BU08,178.751,178.751,-17.725,2.72,WCS Fiji,178.751,-17.725,0
24,BU09,178.778,178.778,-17.751,2.9,WCS Fiji,178.778,-17.751,0
25,BU10,178.77931,178.77931,-17.61911,2.6,WCS Fiji,178.77931,-17.61911,0
26,BUA01A,178.351275,178.351275,-16.8277,7.57,WCS Fiji,178.351275,-16.8277,0
27,BUA01B,178.358538,178.358538,-16.821882,1,WCS Fiji,178.358538,-16.821882,0
28,BUA02A,178.173314,178.173314,-16.811301,5,WCS Fiji,178.173314,-16.811301,0
29,BUA03A,178.479504,178.479504,-16.889472,0.83,WCS Fiji,178.479504,-16.889472,0
30,BUA04,178.47759,178.47759,-16.896101,5.77,WCS Fiji,178.47759,-16.896101,0
31,BUA05,178.450133,178.450133,-16.946311,6.67,WCS Fiji,178.450133,-16.946311,0
32,BUA06A,178.476185,178.476185,-16.954782,9.33,WCS Fiji,178.476185,-16.954782,0
33,BUA07A,178.557182,178.557182,-16.83297,4.17,WCS Fiji,178.557182,-16.83297,0
34,BUA08A,178.543537,178.543537,-16.8494,5.47,WCS Fiji,178.543537,-16.8494,0
35,BUA09A,178.324957,178.324957,-16.803491,2,WCS Fiji,178.324957,-16.803491,0
36,BUA10A,178.273199,178.273199,-16.837014,6.5,WCS Fiji,178.273199,-16.837014,0
37,BUA10B,178.275178,178.275178,-16.829014,1.2,WCS Fiji,178.275178,-16.829014,0
38,BUA12A,178.483719,178.483719,-16.677986,6.67,WCS Fiji,178.483719,-16.677986,0
39,BUA17A,178.407411,178.407411,-16.775919,4.4,WCS Fiji,178.407411,-16.775919,0
40,BUA19,178.569836,178.569836,-16.826757,1.5,WCS Fiji,178.569836,-16.826757,0
41,BUA20A,178.555602,178.555602,-16.856581,5.47,WCS Fiji,178.555602,-16.856581,0
42,BUA22A,178.167516,178.167516,-16.81341,1.2,WCS Fiji,178.167516,-16.81341,0
43,BUA24A,178.523042,178.523042,-16.838822,4.88,WCS Fiji,178.523042,-16.838822,0
44,BUA25,178.539783,178.539783,-16.84262,4.75,WCS Fiji,178.539783,-16.84262,0
45,BUA25A,178.476461,178.476461,-16.688053,8,WCS Fiji,178.476461,-16.688053,0
46,Bua29,178.502376,178.502376,-16.71312,5.97,WCS Fiji,178.5,-16.66666667,1
